schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date
1.0,RESEARCH_PAPER,Sequential Triggers for Watermarking of Deep Reinforcement Learning Policies,"['Vahid Behzadan', 'William Hsu']",http://arxiv.org/abs/1906.01126v1,N/A,0,2019-06-03T23:42:44Z
1.0,RESEARCH_PAPER,Rapidly-Exploring Quotient-Space Trees: Motion Planning using Sequential Simplifications,"['Andreas Orthey', 'Marc Toussaint']",http://arxiv.org/abs/1906.01350v2,N/A,0,2019-06-04T11:23:38Z
1.0,RESEARCH_PAPER,Autonomous Reinforcement Learning of Multiple Interrelated Tasks,"['Vieri Giuliano Santucci', 'Gianluca Baldassarre', 'Emilio Cartoni']",http://arxiv.org/abs/1906.01374v1,N/A,0,2019-06-04T12:30:04Z
1.0,RESEARCH_PAPER,Hierarchical Decision Making by Generating and Following Natural Language Instructions,"['Hengyuan Hu', 'Denis Yarats', 'Qucheng Gong', 'Yuandong Tian', 'Mike Lewis']",http://arxiv.org/abs/1906.00744v5,N/A,0,2019-06-03T12:28:50Z
1.0,RESEARCH_PAPER,RL4health: Crowdsourcing Reinforcement Learning for Knee Replacement Pathway Optimization,"['Hao Lu', 'Mengdi Wang']",http://arxiv.org/abs/1906.01407v1,N/A,0,2019-05-24T22:12:02Z
1.0,RESEARCH_PAPER,Knowledge-augmented Column Networks: Guiding Deep Learning with Advice,"['Mayukh Das', 'Devendra Singh Dhami', 'Yang Yu', 'Gautam Kunapuli', 'Sriraam Natarajan']",http://arxiv.org/abs/1906.01432v1,N/A,0,2019-05-31T21:09:21Z
1.0,RESEARCH_PAPER,Options as responses: Grounding behavioural hierarchies in multi-agent RL,"['Alexander Sasha Vezhnevets', 'Yuhuai Wu', 'Remi Leblond', 'Joel Z. Leibo']",http://arxiv.org/abs/1906.01470v3,N/A,0,2019-06-04T14:18:47Z
1.0,RESEARCH_PAPER,Embedded hyper-parameter tuning by Simulated Annealing,"['Matteo Fischetti', 'Matteo Stringher']",http://arxiv.org/abs/1906.01504v1,N/A,0,2019-06-04T15:14:36Z
1.0,RESEARCH_PAPER,Privacy-preserving Crowd-guided AI Decision-making in Ethical Dilemmas,"['Teng Wang', 'Jun Zhao', 'Han Yu', 'Jinyan Liu', 'Xinyu Yang', 'Xuebin Ren', 'Shuyu Shi']",http://arxiv.org/abs/1906.01562v2,N/A,0,2019-06-04T16:27:47Z
1.0,RESEARCH_PAPER,Fair Classification via Unconstrained Optimization,['Ibrahim Alabdulmohsin'],http://arxiv.org/abs/2005.14621v1,N/A,0,2020-05-21T11:29:05Z
1.0,RESEARCH_PAPER,Unlucky Explorer: A Complete non-Overlapping Map Exploration,"['Mohammad Sina Kiarostami', 'Saleh Khalaj Monfared', 'Mohammadreza Daneshvaramoli', 'Ali Oliayi', 'Negar Yousefian', 'Dara Rahmati', 'Saeid Gorgin']",http://arxiv.org/abs/2005.14156v1,N/A,0,2020-05-28T17:19:24Z
1.0,RESEARCH_PAPER,Algorithm Selection Framework for Cyber Attack Detection,"['Marc Chalé', 'Nathaniel D. Bastian', 'Jeffery Weir']",http://arxiv.org/abs/2005.14230v1,N/A,0,2020-05-28T18:49:29Z
1.0,RESEARCH_PAPER,Efficient AutoML Pipeline Search with Matrix and Tensor Factorization,"['Chengrun Yang', 'Jicong Fan', 'Ziyang Wu', 'Madeleine Udell']",http://arxiv.org/abs/2006.04216v1,N/A,0,2020-06-07T18:08:48Z
1.0,RESEARCH_PAPER,Randomized Policy Learning for Continuous State and Action MDPs,"['Hiteshi Sharma', 'Rahul Jain']",http://arxiv.org/abs/2006.04331v2,N/A,0,2020-06-08T02:49:47Z
1.0,RESEARCH_PAPER,An ASP approach for reasoning in a concept-aware multipreferential lightweight DL,"['Laura Giordano', 'Daniele Theseider Dupré']",http://arxiv.org/abs/2006.04387v2,N/A,0,2020-06-08T07:15:38Z
1.0,RESEARCH_PAPER,CAST: A Correlation-based Adaptive Spectral Clustering Algorithm on Multi-scale Data,"['Xiang Li', 'Ben Kao', 'Caihua Shan', 'Dawei Yin', 'Martin Ester']",http://arxiv.org/abs/2006.04435v1,N/A,0,2020-06-08T09:46:35Z
1.0,RESEARCH_PAPER,Learning under Invariable Bayesian Safety,"['Gal Bahar', 'Omer Ben-Porat', 'Kevin Leyton-Brown', 'Moshe Tennenholtz']",http://arxiv.org/abs/2006.04497v1,N/A,0,2020-06-08T12:07:59Z
1.0,RESEARCH_PAPER,Policy-focused Agent-based Modeling using RL Behavioral Models,"['Osonde A. Osoba', 'Raffaele Vardavas', 'Justin Grana', 'Rushil Zutshi', 'Amber Jaycocks']",http://arxiv.org/abs/2006.05048v3,N/A,0,2020-06-09T04:55:07Z
1.0,RESEARCH_PAPER,Supervised Whole DAG Causal Discovery,"['Hebi Li', 'Qi Xiao', 'Jin Tian']",http://arxiv.org/abs/2006.04697v1,N/A,0,2020-06-08T15:53:20Z
